Bil,Peringkat Sekolah,PPD,Kod Sekolah,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax
9554,Rendah,PPD TATAU/SEBAUH,YBB9202,SK KUALA SERUPAI,"D/A, PEJABAT PELAJARAN DAERAH TATAU.",97200,TATAU,SARAWAK,0146815651,TIADA
9555,Rendah,PPD TATAU/SEBAUH,YBB9203,SK RUMAH KESENG,"D/A, PEJABAT PELAJARAN DAERAH TATAU.",97200,TATAU,SARAWAK,TIADA,TIADA
9556,Rendah,PPD TATAU/SEBAUH,YBB9204,SK RUMAH BARRAU,"SK RUMAH BARRAU, D/A PEJABAT PELAJARAN DAERAH TATA",97200,TATAU,SARAWAK,TIADA,TIADA
9557,Rendah,PPD TATAU/SEBAUH,YBB9205,SK SANGAN IBAN,"D/A, PEJABAT PENDIDIKAN  DAERAH TATAU",97200,TATAU,SARAWAK,086581004,TIADA
9558,Rendah,PPD TATAU/SEBAUH,YBB9206,SK KUALA ANNAU,"D/A, PEJABAT PELAJARAN DAERAH  TATAU.",97200,BINTULU,SARAWAK,,TIADA
9559,Rendah,PPD TATAU/SEBAUH,YBB9207,SK KUALA MUPUT,D/A  PEJABAT PELAJARAN DAERAH TATAU.,97000,TATAU,SARAWAK,0138192055,TIADA
9560,Rendah,PPD BINTULU,YBB9208,SK SG SETIAM,"SK SG. SETIAM, D/A PEJABAT PELAJARAN DAERAH BINTULU, KM5 JLN SULTAN ISKANDAR",97000,BINTULU,SARAWAK,0104093051,TIADA
9561,Rendah,PPD TATAU/SEBAUH,YBB9209,SK SG. BAGIAN,"SK SUNGAI BAGIAU, d/a PEJABAT PENDIDIKAN DAERAH TATAU",97200,TATAU,SARAWAK,TIADA,TIADA
9562,Rendah,PPD TATAU/SEBAUH,YBB9210,SK NG TAU,D/A PEJABAT PELAJARAN DAERAH TATAU,97200,TATAU,SARAWAK,TIADA,TIADA
9563,Rendah,PPD BINTULU,YBB9211,SK SG. SETULAN,D/A PEJABAT PELAJARAN DAERAH BINTULU,97000,BINTULU,SARAWAK,TIADA,TIADA
9564,Rendah,PPD KUCHING,YBC1201,SJK(C) SG APONG,"D/A PEJ PEL DAERAH KCH, JLN DIPLOMATIK OFF, JLN BA",93050,KUCHING,SARAWAK,082333994,082333994
9565,Rendah,PPD KUCHING,YBC1202,SJK(C) BINTAWA,"D/A PEJ PEL GAB KCH, JLN DIPLOMATIK, OFF JLN BAKO",93050,KUCHING,SARAWAK,082333187,082481784
9566,Rendah,PPD KUCHING,YBC1302,SJK(C) STAMPIN,"D/A PEJ PEL DAERAH KCH, JLN DIPLOMATIK OFF JLN BAKO",93050,KUCHING,SARAWAK,082459506,082459506
9567,Rendah,PPD PADAWAN,YBC1303,SJK(C) SG TENGAH,"D/A PPDK PADAWAN,LORONG 17,OFF JALAN KAPOR",93150,KUCHING,SARAWAK,082640185,082640108
9568,Rendah,PPD PADAWAN,YBC1304,SJK(C) BERATOK,"BATU21, JALAN KUCHING/SERIAN",94200,KUCHING,SARAWAK,082863040,082863040
9569,Rendah,PPD PADAWAN,YBC1305,SJK(C) TAPAH,"D/A PPD PADAWAN, LORONG 17, OFF JALAN KAPOR",93150,KUCHING,SARAWAK,082867415,082867415
9570,Rendah,PPD SIBU,YBC3101,SJK(C) TAMAN RAJANG,D/A PEJABAT PELAJARAN DAERAH SIBU,96000,SIBU,SARAWAK,084333320,084333340
9571,Rendah,PPD SIBU,YBC3201,SJK(C) SANG MING,D/A PEJABAT PELAJARAN GABUNGAN SIBU,96000,SIBU,SARAWAK,084352013,084352013
9572,Rendah,PPD MIRI,YBC4101,SJK(C) NORTH,D/A PEJABAT PELAJARAN DAERAH MIRI,98000,MIRI,SARAWAK,085436671,085436671
9573,Rendah,PPD MIRI,YBC4103,SJK(C) TUKAU,D/A PEJABAT PELAJARAN DAERAH MIRI,98000,MIRI,SARAWAK,085414937,085425506
9574,Rendah,PPD BARAM,YBC4302,SEKOLAH JENIS KEBANGSAAN SUNGAI JAONG MARUDI,P.O.BOX 61,98050,"MARUDI, BARAM",SARAWAK,085755219,085756931
9575,Rendah,PPD MIRI,YBC4303,SJK(C) HUA KWONG,D/A PEJABAT PENDIDIKAN DAERAH MIRI,98000,MIRI,SARAWAK,085744195,085744295
9576,Rendah,PPD SARIKEI,YBC6101,SJK(C) CHUNG HIEN,D/A PEJABAT PELAJARAN DAERAH SARIKEI,96100,SARIKEI,SARAWAK,TIADA,TIADA
9577,Rendah,PPD SARIKEI,YBC6102,SJK(C) TIONG HO,D/A PEJABAT PELAJARAN DAERAH SARIKEI,96100,SARIKEI,SARAWAK,084671632,084671632
9578,Rendah,PPD SARIKEI,YBC6103,SJK(C) SZE LU,D/A PEJABAT PELAJARAN DAERAH SARIKEI,96100,SARIKEI,SARAWAK,084671735,TIADA
9579,Rendah,PPD SARIKEI,YBC6104,SJK(C) MINAR,D/A PEJABAT PELAJARAN DAERAH SARIKEI,96100,SARIKEI,SARAWAK,0198586881,TIADA
9580,Rendah,PPD SARIKEI,YBC6105,SJK(C) NAM KIEW,D/A PEJABAT PELAJARAN DAERAH SARIKEI,96100,SARIKEI,SARAWAK,TIADA,TIADA
9581,Rendah,PPD SARIKEI,YBC6106,SJK(C) SU LOK,D/A PEJABAT PELAJARAN DAERAH SARIKEI,96100,SARIKEI,SARAWAK,084653154,084653154
